17,20,22,35,41,42
3,6,14,21,25,29
1,5,9,18,23,30
1,7,11,15,19,29
33,37,42,44,49,56
31,33,46,57,58,60
34,35,47,49,51,58
3,9,18,23,35,47
5,9,23,26,31,42
9,13,25,37,46,54
8,17,26,35,36,51
9,11,13,20,24,28
3,7,8,20,21,27
2,3,11,20,23,29
31,41,42,49,57,59
30,32,47,49,51,60
33,37,42,46,54,57
9,20,24,33,37,42
4,21,22,37,42,57
14,25,28,41,43,46
6,14,25,30,42,46
4,12,19,23,26,29
2,7,14,20,25,28
9,13,19,20,24,26
30,34,47,49,53,58
33,39,44,46,50,57
37,38,41,44,56,59
2,9,20,36,49,60
1,5,17,28,36,45
8,13,26,37,44,58
11,18,35,43,52,59
1,6,18,19,26,27
7,12,15,22,25,29
3,17,18,20,21,28
30,35,41,47,52,59
33,35,44,46,57,58
37,43,44,50,55,56
6,11,22,37,58,60
1,15,26,29,48,51
9,17,18,24,44,59
5,20,42,47,50,59
3,5,9,10,15,22
6,9,18,20,23,27
1,7,11,14,21,30
33,37,45,48,55,58
32,40,44,49,51,60
31,37,39,42,51,57
10,16,28,35,49,50
6,23,31,34,37,52
3,5,7,8,29,60
5,11,13,29,40,57
1,9,10,18,21,30
2,5,6,12,14,29
7,10,11,18,19,27
30,39,42,47,50,57
35,41,45,51,59,60
32,39,40,48,51,58
9,11,16,28,32,57
4,10,17,25,41,57
2,18,23,43,51,60
2,13,39,42,46,58
4,27,30,42,45,54
5,11,18,38,55,58
4,10,28,33,39,43
2,16,19,24,48,59
3,16,24,33,44,57
1,21,22,25,33,37
12,17,20,34,48,51
8,12,24,36,48,52
10,12,18,23,28,39
3,7,16,19,23,27
7,9,11,18,21,30
5,7,10,13,17,29
31,35,37,42,51,55
33,39,42,47,49,56
30,36,41,48,53,60
3,13,32,42,50,55
7,15,21,33,41,57
11,17,25,32,43,49
11,22,35,41,55,57
5,11,15,18,20,26
2,9,13,22,25,29
3,14,16,21,24,28
34,39,45,50,52,59
31,40,42,49,51,57
39,44,48,53,58,60
18,29,35,39,48,58
7,16,19,37,44,50
23,30,37,41,53,60
2,14,18,47,53,58
6,11,20,37,44,45
7,23,37,47,53,57
4,8,14,36,49,54
4,13,14,15,29,44
1,5,13,26,43,60
2,7,10,16,34,43
3,21,35,37,42,57
1,20,31,36,52,56
5,10,13,16,23,43
2,5,7,11,15,23
5,9,12,18,21,29
1,4,10,22,25,28
31,35,40,46,53,59
34,38,41,48,50,56
37,39,44,45,51,55
1,6,18,24,33,60
2,10,21,44,58,59
7,15,29,37,40,53
4,8,12,19,29,56
3,8,13,21,25,30
4,9,10,14,23,29
1,5,7,11,17,27
35,44,50,52,54,60
31,36,39,47,58,59
33,38,41,42,46,57
1,7,8,13,21,30
3,11,14,20,24,37
5,27,36,45,54,60
3,5,9,11,25,30
3,5,11,13,19,30
1,4,10,15,21,29
31,45,56,58,59,60
30,34,42,46,48,60
37,44,50,55,58,60
1,12,22,35,41,50
1,10,21,33,43,56
9,34,45,46,52,60
1,25,45,56,58,60
2,8,15,21,24,27
1,4,9,13,19,28
3,6,11,17,25,30
31,37,42,49,51,59
32,35,49,53,55,58
39,41,48,52,57,60
3,5,6,11,17,33
10,24,37,43,54,60
4,17,26,38,42,58
9,13,26,33,41,60
1,16,20,26,35,40
2,8,22,35,42,58
10,15,23,34,45,59
2,5,18,33,35,46
8,9,18,19,20,21
6,12,13,19,22,32
5,16,24,36,44,51
3,9,11,25,30,55
9,18,26,37,43,57
2,6,12,19,22,32
3,6,11,12,14,18
1,7,10,14,20,22
4,8,16,21,23,26
34,39,46,48,52,60
31,34,43,47,52,59
36,42,43,53,57,60
12,14,23,36,49,52
3,7,15,32,35,43
5,10,20,26,42,50
13,18,22,32,35,48
2,5,9,23,25,35
3,18,23,44,48,50
3,8,12,17,25,29
1,13,16,19,20,26
8,10,14,21,25,30
31,37,41,48,52,55
38,40,45,46,58,60
33,35,42,51,56,59
4,18,22,33,43,55
19,23,28,37,50,60
2,12,39,41,47,55
15,19,27,36,38,56
5,7,17,33,36,38
4,10,13,17,27,30
7,9,14,23,27,36
2,6,12,17,25,27
12,17,24,35,47,54
5,18,33,44,57,59
5,7,27,30,57,58
35,36,44,47,55,57
38,39,43,44,57,60
33,36,39,54,55,59
4,6,16,32,35,37
3,9,12,16,26,29
6,8,13,22,27,35
2,5,12,16,24,26
12,16,24,36,46,53
4,17,34,43,57,58
4,8,26,29,56,59
34,37,43,46,54,56
37,38,42,43,56,59
32,35,37,53,54,58
2,5,9,13,23,29
1,3,7,15,21,27
3,5,11,13,21,29
31,36,43,47,51,59
33,39,42,48,52,58
31,33,35,41,45,51
2,5,13,23,33,45
3,7,11,22,31,52
1,5,11,23,31,45
1,2,5,23,31,37
3,7,15,19,23,29
4,9,13,21,23,27
5,17,19,23,25,30
31,33,37,41,43,51
33,39,41,47,51,57
32,40,44,50,53,58
2,7,13,19,21,23
7,13,19,27,33,41
4,11,14,21,29,37
3,14,17,23,29,37
3,8,11,14,25,27
4,7,12,20,22,30
2,9,15,19,23,28
5,10,13,18,21,29
32,40,45,53,54,60
5,6,14,18,23,26
8,20,34,39,48,59
7,10,21,38,52,57
2,4,28,36,46,55
8,22,45,49,54,60
1,2,15,17,21,27
5,7,10,13,19,23
2,5,9,17,25,29
30,33,44,48,51,55
31,34,41,47,49,53
34,39,40,45,50,57
1,17,27,33,45,60
2,5,34,47,51,55
1,3,7,18,34,38
5,9,11,17,23,58
3,7,8,11,22,23
10,15,17,21,28,30
2,6,9,10,12,25
32,37,40,48,50,60
38,39,52,53,57,59
33,41,44,49,55,56
1,16,25,31,42,51
6,27,29,42,47,54
4,15,17,49,51,60
7,15,17,35,42,58
2,6,9,13,15,30
5,9,16,19,25,29
1,2,11,18,21,24
31,39,45,49,56,57
34,36,39,47,51,60
32,37,49,50,59,60
3,9,16,27,33,40
7,17,29,37,52,58
1,10,19,23,55,59
6,12,28,41,56,57
8,14,23,21,12,16
3,9,25,30,13,19
7,1,24,15,11,10
32,35,40,46,50,60
41,33,34,55,47,31
52,44,35,53,42,57
1,9,11,17,21,28
2,5,10,18,30,35
7,12,20,26,16,40
8,6,14,25,30,36
6,24,28,30,33,41
1,11,26,31,40,45
1,4,8,23,50,60
5,24,25,26,53,60
13,18,33,37,55,58
5,13,19,36,37,48
2,11,13,17,31,51
3,5,20,23,35,40
3,5,25,29,44,56
7,10,26,30,33,35
5,9,11,17,27,29
1,6,12,21,28,30
4,7,16,20,25,30
32,39,41,47,54,60
30,33,42,48,51,59
34,39,47,51,58,60
7,12,32,36,42,54
9,18,22,37,41,56
1,15,27,33,49,60
4,8,15,16,23,42
1,12,22,26,39,42
4,10,18,25,33,48
5,11,20,23,38,53
4,5,10,23,53,54
7,12,13,23,41,59
8,17,32,38,50,54
1,13,25,27,38,49
12,15,34,45,46,57
3,10,22,34,46,48
3,10,27,31,53,54
4,11,16,45,55,57
5,17,32,39,46,48
17,19,38,42,50,53
13,21,35,43,49,51
9,15,19,31,44,54
1,10,16,33,48,51
15,22,24,39,41,44
5,6,13,22,37,44
9,10,16,21,31,48
13,19,20,30,38,44
33,34,43,49,51,58
32,33,37,39,46,53
8,12,34,43,44,59
13,17,45,47,55,60
9,16,33,36,47,60
1,3,4,26,44,53
2,9,33,34,40,47
20,24,36,38,50,54
2,6,18,26,31,36
6,20,22,32,42,60
31,40,42,50,56,57
1,8,25,33,34,47
7,10,24,27,44,54
3,6,15,27,50,57
5,28,31,33,34,36
4,13,25,44,49,59
2,3,11,33,51,55
10,11,17,36,49,56
10,14,25,39,40,44
1,21,47,49,54,59
6,10,31,32,47,49
2,3,41,45,54,55
10,20,39,43,46,49
8,15,16,34,40,55
4,29,33,56,57,60
3,7,10,26,43,47
17,26,33,34,40,52
14,38,46,50,54,59
5,8,26,33,52,53
7,22,28,29,32,34
2,8,27,49,50,57
6,18,20,30,50,57
3,22,29,30,35,59
10,12,19,38,42,51
6,19,20,39,45,57
3,25,26,47,49,51
24,30,32,35,38,45
19,25,27,45,52,54
1,13,14,17,47,50
13,29,34,44,51,56
7,11,35,52,55,58
5,14,21,26,33,51
21,27,29,33,42,58
16,31,39,47,50,57
13,16,21,32,49,51
3,15,22,31,41,46
2,19,31,34,37,44
9,11,25,32,40,44
1,7,29,32,42,52
15,16,17,38,39,60
2,13,24,26,30,35
4,5,7,36,48,56
11,12,29,35,41,42
4,19,30,34,43,57
5,10,19,24,41,46
4,18,20,23,56,57
